"n","film","revenue","budget","language","popularity","vote.average","vote.count","release.date","genre","certification","genre_txt","year","lustrum","decade","log_budget","log_rev","id"
"94","The Way of the Dragon",2.7e+07,130000,"cn",10193,7.4,500,"1972-06-01",28,"R","Action",1972,"70-74","70-79",5.11394335230684,7.43136376415899,"9462"
"95","Boxcar Bertha",0,6e+05,"en",5635,6.1,90,"1972-06-14",80,"R","Crime",1972,"70-74","70-79",5.77815125038364,1,"22784"
"96","Conquest of the Planet of the Apes",9700000,1700000,"en",7425,6.2,426,"1972-06-29",28,"PG","Action",1972,"70-74","70-79",6.23044892137827,6.98677173426625,"1688"
"97","The Canterbury Tales",0,0,"it",5678,6.3,87,"1972-07-01",35,"NC-17","Comedy",1972,"70-74","70-79",1,1,"5691"
"98","Joe Kidd",6330000,0,"en",8927,6.4,155,"1972-07-14",37,"PG","Western",1972,"70-74","70-79",1,6.80140371001735,"14881"
"99","Deliverance",46122355,2e+06,"en",6938,7.3,830,"1972-07-30",18,"R","Drama",1972,"70-74","70-79",6.30102999566398,7.66391147419494,"10669"
"100","The Genesis Children",0,0,"en",10793,7,3,"1972-08-01",18,NA,"Drama",1972,"70-74","70-79",1,1,"47094"
"101","Everything You Always Wanted to Know About Sex But Were Afraid to Ask",18016290,2e+06,"en",7497,6.6,505,"1972-08-06",35,"R","Comedy",1972,"70-74","70-79",6.30102999566398,7.25566536386764,"11624"
"102","Blacula",0,5e+05,"en",4067,5.6,73,"1972-08-25",14,"PG","Fantasy",1972,"70-74","70-79",5.69897000433602,1,"30566"
"103","The Last House on the Left",0,90000,"en",7654,6.1,307,"1972-08-30",27,"R","Horror",1972,"70-74","70-79",4.95424250943933,1,"15516"
"104","Jeremiah Johnson",0,0,"en",8346,7.4,287,"1972-09-10",12,"PG","Adventure",1972,"70-74","70-79",1,1,"11943"
"105","The Discreet Charm of the Bourgeoisie",0,8e+05,"fr",7312,7.7,352,"1972-09-15",35,NA,"Comedy",1972,"70-74","70-79",5.90308998699194,1,"4593"
"106","The Getaway",58831997,3352254,"en",6101,7.1,252,"1972-09-20",28,"PG","Action",1972,"70-74","70-79",6.52533691766086,7.76961359037896,"5916"
"107","Dont Torture a Duckling",0,0,"it",5351,7.6,174,"1972-09-29",27,"G","Horror",1972,"70-74","70-79",1,1,"49361"
"108","Horror Express",0,3e+05,"en",7706,6.4,119,"1972-09-30",27,"R","Horror",1972,"70-74","70-79",5.47712125471966,1,"32613"
"109","The Bitter Tears of Petra von Kant",0,0,"de",5058,7.4,81,"1972-10-05",18,NA,"Drama",1972,"70-74","70-79",1,1,"10310"
"110","The Mechanic",0,0,"en",7694,6.9,121,"1972-10-06",28,"PG","Action",1972,"70-74","70-79",1,1,"19403"
"111","Last Tango in Paris",36144000,1250000,"it",8442,7.1,631,"1972-10-14",18,"NC-17","Drama",1972,"70-74","70-79",6.09691001300806,7.55803621357629,"1643"
"112","Asylum",0,0,"en",5425,6,62,"1972-11-17",27,"PG","Horror",1972,"70-74","70-79",1,1,"25993"
"113","The Tall Blond Man with One Black Shoe",0,0,"fr",5725,6.9,201,"1972-12-06",35,NA,"Comedy",1972,"70-74","70-79",1,1,"12089"
"114","Sleuth",0,0,"en",7626,7.7,287,"1972-12-10",80,"PG","Crime",1972,"70-74","70-79",1,1,"993"
"115","The Poseidon Adventure",84563118,5e+06,"en",9794,7.2,460,"1972-12-13",28,"PG","Action",1972,"70-74","70-79",6.69897000433602,7.92718098784277,"551"
"116","Avanti",0,0,"en",6.45,7,103,"1972-12-17",35,"R","Comedy",1972,"70-74","70-79",1,1,"12530"
"117","Cries and Whispers",0,4e+05,"sv",7828,8,291,"1972-12-21",18,NA,"Drama",1972,"70-74","70-79",5.60205999132796,1,"10238"
"118","The Adventures of Pinocchio",0,0,"it",5578,7.5,171,"1972-12-21",18,"PG","Drama",1972,"70-74","70-79",1,1,"58451"
"119","All the Way Boys",0,0,"it",6.32,6.7,201,"1972-12-22",28,NA,"Action",1972,"70-74","70-79",1,1,"1721"
"120","Aguirre the Wrath of God",0,92000,"de",7468,7.6,511,"1972-12-29",12,NA,"Adventure",1972,"70-74","70-79",4.96378782734556,1,"2000"
"121","Charlottes Web",5232000,0,"en",9216,6.6,203,"1973-03-01",16,"G","Animation",1973,"70-74","70-79",1,6.71866773531621,"15171"
"122","The Long Goodbye",959000,1700000,"en",6894,7.5,264,"1973-03-07",53,"R","Thriller",1973,"70-74","70-79",6.23044892137827,5.98181860717066,"1847"
"123","Malicious",0,0,"it",8022,6.3,54,"1973-03-29",35,NA,"Comedy",1973,"70-74","70-79",1,1,"44741"
"124","High Plains Drifter",15700000,5500000,"en",9599,7.5,539,"1973-04-19",37,"R","Western",1973,"70-74","70-79",6.74036268949424,7.19589965240923,"11901"
"125","Soylent Green",3600000,0,"en",9064,6.9,583,"1973-04-19",878,"PG","Science Fiction",1973,"70-74","70-79",1,6.55630250076729,"12101"
"126","The Holy Mountain",0,0,"es",7104,7.9,398,"1973-05-01",18,NA,"Drama",1973,"70-74","70-79",1,1,"8327"
"127","Thriller A Cruel Picture",0,0,"sv",6716,6.6,96,"1973-05-01",27,"R","Horror",1973,"70-74","70-79",1,1,"15018"
"128","Paper Moon",30900000,2500000,"en",6226,7.9,327,"1973-05-09",35,"PG","Comedy",1973,"70-74","70-79",6.39794000867204,7.48995847942483,"11293"
"129","The Day of the Jackal",0,0,"en",7577,7.6,263,"1973-05-15",28,"PG","Action",1973,"70-74","70-79",1,1,"4909"
"130","Pat Garrett  Billy the Kid",1.1e+07,4638783,"en",7453,7.2,164,"1973-05-23",37,NA,"Western",1973,"70-74","70-79",6.66640405691047,7.04139268515823,"11577"
"131","Day for Night",17808,0,"fr",6836,7.9,266,"1973-05-24",35,NA,"Comedy",1973,"70-74","70-79",1,4.25061514699063,"1675"
"132","Battle for the Planet of the Apes",8844595,1700000,"en",7338,5.7,415,"1973-06-15",28,"G","Action",1973,"70-74","70-79",6.23044892137827,6.94667795106234,"1705"
"133","Live and Let Die",161777836,7e+06,"en",14426,6.5,1020,"1973-07-05",12,"PG","Adventure",1973,"70-74","70-79",6.84509804001426,8.20891902183595,"253"
"134","American Graffiti",1.4e+08,777000,"en",8992,7.1,737,"1973-08-01",35,"PG","Comedy",1973,"70-74","70-79",5.89042101880091,8.14612803567824,"838"
"135","Jesus Christ Superstar",13200000,0,"en",7405,7.1,311,"1973-08-15",18,"G","Drama",1973,"70-74","70-79",1,7.12057393120585,"12545"
"136","14 and Under",0,0,"de",11831,6.4,15,"1973-08-16",35,NA,"Comedy",1973,"70-74","70-79",1,1,"80295"
"137","Enter the Dragon",0,1e+07,"en",10819,7.4,926,"1973-08-17",28,"R","Action",1973,"70-74","70-79",7,1,"9461"
"138","Ivan Vasilyevich Changes His Profession",0,0,"ru",7899,8,159,"1973-09-17",35,"NC-17","Comedy",1973,"70-74","70-79",1,1,"20803"
"139","Charley Varrick",0,0,"en",6132,7.3,107,"1973-09-19",80,"PG","Crime",1973,"70-74","70-79",1,1,"27331"
"140","Mean Streets",3e+06,5e+05,"en",7101,7.2,1051,"1973-10-02",80,"R","Crime",1973,"70-74","70-79",5.69897000433602,6.47712125471966,"203"
"141","Badlands",0,450000,"en",8.32,7.6,617,"1973-10-15",80,"PG","Crime",1973,"70-74","70-79",5.65321251377534,1,"3133"
"142","The Mad Adventures of Rabbi Jacob",0,0,"fr",8317,7.3,536,"1973-10-17",35,NA,"Comedy",1973,"70-74","70-79",1,1,"760"
"143","The Way We Were",4.5e+07,0,"en",6833,7,225,"1973-10-17",18,"PG","Drama",1973,"70-74","70-79",1,7.65321251377534,"10236"
"144","Immoral Tales",0,0,"fr",6459,5.5,68,"1973-11-01",18,"NC-17","Drama",1973,"70-74","70-79",1,1,"46581"
"145","Robin Hood",32056467,1.5e+07,"en",14769,7.3,2738,"1973-11-08",16,"G","Animation",1973,"70-74","70-79",7.17609125905568,7.50591565629156,"11886"
"146","Three Wishes for Cinderella",0,580000,"cs",7322,7.8,182,"1973-11-16",12,"PG","Adventure",1973,"70-74","70-79",5.76342799356294,1,"8703"
"147","Westworld",0,0,"en",8741,6.7,682,"1973-11-21",28,"PG-13","Action",1973,"70-74","70-79",1,1,"2362"
"148","The Wicker Man",0,658625,"en",9008,7.3,607,"1973-12-01",27,"R","Horror",1973,"70-74","70-79",5.81863821158084,1,"16307"
"149","Fantastic Planet",0,0,"fr",8349,7.7,345,"1973-12-01",16,"PG","Animation",1973,"70-74","70-79",1,1,"16306"
"150","Dont Look Now",0,1500000,"en",7951,7,421,"1973-12-03",18,"R","Drama",1973,"70-74","70-79",6.17609125905568,1,"931"
"151","Serpico",29800000,3e+06,"en",8466,7.6,941,"1973-12-05",80,"R","Crime",1973,"70-74","70-79",6.47712125471966,7.47421626407626,"9040"
"152","The Three Musketeers",0,0,"en",8395,7,145,"1973-12-11",28,"PG","Action",1973,"70-74","70-79",1,1,"2926"
"153","Papillon",53267000,1.2e+07,"en",10653,8,971,"1973-12-13",80,"PG","Crime",1973,"70-74","70-79",7.07918124604763,7.72645823798749,"5924"
"154","My Name Is Nobody",0,0,"it",8396,7.3,487,"1973-12-13",35,"PG","Comedy",1973,"70-74","70-79",1,1,"9474"
"155","Amarcord",0,0,"it",7515,8,499,"1973-12-13",35,NA,"Comedy",1973,"70-74","70-79",1,1,"7857"
"156","Sleeper",18344729,2e+06,"en",5223,7.1,438,"1973-12-17",35,"PG","Comedy",1973,"70-74","70-79",6.30102999566398,7.26351130046515,"11561"
"157","The Golden Voyage of Sinbad",1.1e+07,0,"en",6676,6.6,102,"1973-12-20",28,"G","Action",1973,"70-74","70-79",1,7.04139268515823,"17897"
"158","Magnum Force",39768000,0,"en",9586,7.2,502,"1973-12-23",28,"R","Action",1973,"70-74","70-79",1,7.59953375013094,"10648"
"159","The Sting",159616327,5500000,"en",13632,8.1,1285,"1973-12-25",35,"PG","Comedy",1973,"70-74","70-79",6.74036268949424,8.20307731285019,"9277"
"160","The Exorcist",441306145,8e+06,"en",19284,7.6,4464,"1973-12-26",27,"R","Horror",1973,"70-74","70-79",6.90308998699194,8.64473997485488,"9552"
"161","We All Loved Each Other So Much",0,0,"it",8264,8.5,193,"1974-01-01",35,NA,"Comedy",1974,"70-74","70-79",1,1,"42269"
"162","Zardoz",0,0,"en",6981,6,189,"1974-02-06",28,"R","Action",1974,"70-74","70-79",1,1,"4923"
"163","Blazing Saddles",119601481,2600000,"en",12336,7.3,1050,"1974-02-07",35,"R","Comedy",1974,"70-74","70-79",6.41497334797082,8.07773655746297,"11072"
"164","Herbie Rides Again",0,0,"en",6.6,5.9,178,"1974-02-14",35,"G","Comedy",1974,"70-74","70-79",1,1,"10869"
"165","The Great Gatsby",26533200,6500000,"en",7095,6.3,274,"1974-03-27",18,"PG","Drama",1974,"70-74","70-79",6.81291335664286,7.42378963062819,"11034"
"166","Watch Out Were Mad",36782781,0,"it",6716,7.5,427,"1974-03-29",28,"G","Action",1974,"70-74","70-79",1,7.5656445614245,"6916"
"167","Dark Star",0,60000,"en",5.94,6.2,230,"1974-04-01",35,"G","Comedy",1974,"70-74","70-79",4.77815125038364,1,"1410"
"168","The Night Porter",0,0,"it",5269,7,119,"1974-04-03",18,"PG","Drama",1974,"70-74","70-79",1,1,"26648"
"169","The Sugarland Express",12800000,3e+06,"en",5782,6.6,165,"1974-04-05",80,"PG","Crime",1974,"70-74","70-79",6.47712125471966,7.10720996964787,"5121"
"170","Foxy Brown",0,5e+05,"en",4583,6.6,88,"1974-04-05",28,NA,"Action",1974,"70-74","70-79",5.69897000433602,1,"22048"
"171","The Conversation",4420000,1600000,"en",7959,7.6,775,"1974-04-07",80,"PG","Crime",1974,"70-74","70-79",6.20411998265593,6.64542226934909,"592"
"172","Going Places",0,0,"fr",7601,7,188,"1974-05-12",35,"R","Comedy",1974,"70-74","70-79",1,1,"4031"
