film;revenue;budget;language;popularity;vote average;vote count;log_budget;log_revenue;id;tagline;release date;genre;certification;genre_txt;year;lustrum;decade
Animal House;1.41e+08;2700000;en;8761;7.1;862;6,431363764;#°VALOR!;8469;It was the Deltas against the rules... the rules lost!;27/07/1978;35;R;Comedy;1978;75-79;70-79
Interiors;10400000;1,00E+07;en;6709;6.9;184;7;7,017033339;15867;NA;2/08/1978;18;PG;Drama;1978;75-79;70-79
Eyes of Laura Mars;2,00E+07;7,00E+06;en;6558;5.8;96;6,84509804;7,301029996;29143;NA;2/08/1978;18;R;Drama;1978;75-79;70-79
Piranha;1.6e+07;660000;en;7217;5.8;279;5,819543936;#°VALOR!;24831;A hideous death lurked unseen in the river...;3/08/1978;35;R;Comedy;1978;75-79;70-79
Midnight Express;3.5e+07;2300000;en;7.52;7.7;797;6,361727836;#°VALOR!;11327;Walk into the incredible true experience of Billy Hayes, and bring all the courage you can!;31/08/1978;80;R;Crime;1978;75-79;70-79
Dawn of the Dead;5.5e+07;650000;en;9851;7.5;1094;5,812913357;#°VALOR!;923;When there‚Äôs no more room in hell, the dead will walk the earth.;2/09/1978;27;NR;Horror;1978;75-79;70-79
Days of Heaven;0;0;en;6841;7.6;477;1;1;16642;Your eyes... Your ears... Your senses... will be overwhelmed.;13/09/1978;18;PG;Drama;1978;75-79;70-79
Paradise Alley;7185518;0;en;6309;5.7;51;1;6,856458082;23916;The Carboni Boys. They haul ice, lay out stiffs and dance with monkeys.;22/09/1978;28;PG;Action;1978;75-79;70-79
Attack of the Killer Tomatoes!;0;90000;en;7244;5;137;4,954242509;1;2182;Aaargh!...;1/10/1978;35;PG;Comedy;1978;75-79;70-79
Drunken Master;0;0;cn;8562;7.2;394;1;1;11230;The Original Kung Fu Comedy!;5/10/1978;28;PG-13;Action;1978;75-79;70-79
Death on the Nile;14560084;7920000;en;6963;7;296;6,898725182;7,163163881;4192;A murderer strikes on board the luxury Nile steamer Karnak-and Hercule Poirot faces his most baffling case.;6/10/1978;9648;NA;Mystery;1978;75-79;70-79
Autumn Sonata;0;0;sv;7431;8.1;197;1;1;12761;NA;8/10/1978;18;NA;Drama;1978;75-79;70-79
Watership Down;3713768;1,00E+06;en;8402;7.2;350;6;6,56981477;11837;All the world will be your enemy, Prince with a Thousand Enemies, and when they catch you, they will kill you... but first they must catch you.;14/10/1978;12;PG;Adventure;1978;75-79;70-79
Halloween;0;325000;en;13759;7.5;2802;5,511883361;1;948;The Night He Came Home!;24/10/1978;27;R;Horror;1978;75-79;70-79
Force 10 from Navarone;7230000;5,00E+06;en;7433;6.3;158;6,698970004;6,859138297;17339;NA;1/11/1978;28;PG;Action;1978;75-79;70-79
French Fried Vacation;0;0;fr;6839;6.7;545;1;1;11183;NA;1/11/1978;35;NA;Comedy;1978;75-79;70-79
Day of the Woman;0;650000;en;8.01;5.9;270;5,812913357;1;25239;...An act of vengeance;2/11/1978;27;R;Horror;1978;75-79;70-79
The Lord of the Rings;30471420;4,00E+06;en;8222;6.5;406;6,602059991;7,483892693;123;Fantasy...beyond your imagination;15/11/1978;12;PG;Adventure;1978;75-79;70-79
The Star Wars Holiday Special;0;0;en;8.03;3;229;1;1;74849;A long time ago, in a galaxy far, far away...;1/12/1978;12;NA;Adventure;1978;75-79;70-79
The Deer Hunter;5,00E+07;1.5e+07;en;13.72;8;2021;#°VALOR!;7,698970004;11778;NA;8/12/1978;18;R;Drama;1978;75-79;70-79
Superman;300218018;5.5e+07;en;18048;7.1;2135;#°VALOR!;8,477436753;1924;You'll Believe a Man Can Fly!;13/12/1978;28;PG;Action;1978;75-79;70-79
Invasion of the Body Snatchers;24946533;3500000;en;8803;7.3;468;6,544068044;7,397010197;11850;From deep space... the seed is planted... terror grows;19/12/1978;27;PG;Horror;1978;75-79;70-79
Every Which Way But Loose;85;5;en;7828;6.1;231;0,698970004;1,929418926;15417;Clint Eastwood will turn you Every Which Way But Loose;19/12/1978;28;PG;Action;1978;75-79;70-79
Starcrash;0;0;en;5.82;4.5;91;1;1;22049;A galactic adventure beyond your wildest dreams!;21/12/1978;14;PG;Fantasy;1978;75-79;70-79
Nosferatu the Vampyre;0;0;de;8174;7.5;350;1;1;6404;Nosferatu‚Ä¶ he who is doomed to wander alone in darkness;17/01/1979;18;PG;Drama;1979;75-79;70-79
Caligula;23438120;17500000;en;12828;5.4;313;7,243038049;7,369922773;9453;What would you have done if you had been given absolute power of life and death over everybody else in the whole world?;21/01/1979;18;R;Drama;1979;75-79;70-79
Tourist Trap;0;8,00E+05;en;7314;6.2;120;5,903089987;1;13570;Every year young people disappear;25/01/1979;27;PG;Horror;1979;75-79;70-79
The Gendarme and the Creatures from Outer Space;0;0;fr;7969;6.2;334;1;1;10516;NA;31/01/1979;35;NA;Comedy;1979;75-79;70-79
The Warriors;22490039;4,00E+06;en;8024;7.6;991;6,602059991;7,351990209;11474;These are the armies of the night.;8/02/1979;28;R;Action;1979;75-79;70-79
The Marriage of Maria Braun;0;0;de;7782;7.5;93;1;1;661;A German woman named Maria struggles to live through World War II.;20/02/1979;18;NA;Drama;1979;75-79;70-79
Mad Max;1,00E+08;4,00E+05;en;14146;6.7;2422;5,602059991;8;9659;The Maximum Force Of The Future;12/04/1979;28;R;Action;1979;75-79;70-79
Manhattan;39946780;0;en;9864;7.9;1356;1;7,601481778;696;NA;25/04/1979;35;R;Comedy;1979;75-79;70-79
The Tin Drum;0;0;de;7561;7.1;196;1;1;659;A savage, sweeping epic of society in chaos.;2/05/1979;18;R;Drama;1979;75-79;70-79
Phantasm;11988469;3,00E+05;en;7129;6.6;322;5,477121255;7,078763725;9638;If this one doesn‚Äôt scare you, you‚Äôre already dead.;3/05/1979;27;R;Horror;1979;75-79;70-79
Stalker;0;0;ru;15179;8.3;893;1;1;1398;NA;25/05/1979;18;NA;Drama;1979;75-79;70-79
The Brood;0;1355000;en;7158;6.7;306;6,131939295;1;28942;The Ultimate Experience in Inner Terror;25/05/1979;27;R;Horror;1979;75-79;70-79
Alien;104931801;1.1e+07;en;23.4;8.1;8567;#°VALOR!;8,020907127;348;In space no one can hear you scream.;25/05/1979;27;R;Horror;1979;75-79;70-79
The Muppet Movie;76657000;0;en;7171;7.1;291;1;7,884551819;11176;Its time to play the music! Its time to light the lights!;31/05/1979;10402;G;Music;1979;75-79;70-79
Rocky II;200182160;7,00E+06;en;11387;7.1;2408;6,84509804;8,301425371;1367;Once he fought for a dream. Now he's fighting for love!;15/06/1979;18;PG;Drama;1979;75-79;70-79
Escape from Alcatraz;4.3e+07;8,00E+06;en;19983;7.5;1383;6,903089987;#°VALOR!;10734;No one has ever escaped from Alcatraz...and no one ever will!;22/06/1979;80;PG;Crime;1979;75-79;70-79
Moonraker;210308099;3.4e+07;en;15245;6.1;1019;#°VALOR!;8,322855998;698;Outer space now belongs to 007.;26/06/1979;28;PG;Action;1979;75-79;70-79
Meatballs;0;1207520;en;6189;5.9;148;6,081894333;1;14035;When this lot go back to nature, nature runs for it's life.;28/06/1979;35;PG;Comedy;1979;75-79;70-79
The Wanderers;2.3e+07;0;en;6055;7.4;90;1;#°VALOR!;233;It was the Wanderer's Against The World...;13/07/1979;18;NA;Drama;1979;75-79;70-79
Dracula;0;0;en;7.06;6.5;94;1;1;33521;Throughout history he has filled the hearts of men with terror, and the hearts of women with desire.;20/07/1979;27;R;Horror;1979;75-79;70-79
The Amityville Horror;86432000;0;en;7157;6.3;389;1;7,936674563;11449;For God's Sake, Get Out!;26/07/1979;27;R;Horror;1979;75-79;70-79
The Sheriff and the Satellite Kid;0;0;it;5947;6.3;173;1;1;10770;NA;10/08/1979;35;NA;Comedy;1979;75-79;70-79
Apocalypse Now;1.5e+08;31500000;en;16225;8.3;4602;7,498310554;#°VALOR!;28;This is the end...;15/08/1979;18;R;Drama;1979;75-79;70-79
The Concorde... Airport '79;13015688;1.4e+07;en;6204;4.7;80;#°VALOR!;7,11446713;29723;At twice the speed of sound, can the Concorde evade attack?;17/08/1979;28;PG;Action;1979;75-79;70-79
Life of Brian;20045115;4,00E+06;en;13.08;7.8;2472;6,602059991;7,302008552;583;He wasn't the messiah. He was a very naughty boy.;17/08/1979;35;R;Comedy;1979;75-79;70-79
Zombie Flesh Eaters;0;0;it;7552;6.6;283;1;1;7219;We are going to eat you!;25/08/1979;27;NA;Horror;1979;75-79;70-79
Quadrophenia;0;0;en;6.2;7.3;125;1;1;10373;A Way of Life;14/09/1979;18;R;Drama;1979;75-79;70-79
10;74865517;0;en;7.76;5.7;116;1;7,874281828;9051;The funniest, sexiest midlife crisis in movie history.;4/10/1979;35;R;Comedy;1979;75-79;70-79
Tess;0;0;en;6011;6.9;150;1;1;11121;NA;6/10/1979;18;PG;Drama;1979;75-79;70-79
...And Justice for All;33300000;0;en;7543;7.1;225;1;7,522444234;17443;NA;19/10/1979;80;R;Crime;1979;75-79;70-79
French Fried Vacation 2;0;0;fr;7.8;7.4;742;1;1;33701;NA;22/11/1979;35;NA;Comedy;1979;75-79;70-79
I'm for the Hippopotamus;0;0;it;6.04;6.6;267;1;1;9031;NA;30/11/1979;28;PG;Action;1979;75-79;70-79
Star Trek: The Motion Picture;1.39e+08;3.5e+07;en;12119;6.4;945;#°VALOR!;#°VALOR!;152;The human adventure is just beginning.;7/12/1979;12;PG;Adventure;1979;75-79;70-79
1941;31755742;3.5e+07;en;7.14;5.8;312;#°VALOR!;7,501822265;11519;Paranoia meets pandemonium.;13/12/1979;35;PG;Comedy;1979;75-79;70-79
The Jerk;73961419;0;en;6741;7.1;469;1;7,869005235;6471;A rags to riches to rags story.;14/12/1979;35;R;Comedy;1979;75-79;70-79
Lupin the Third: The Castle of Cagliostro;0;0;ja;10.35;7.5;488;1;1;15371;NA;15/12/1979;12;PG;Adventure;1979;75-79;70-79
Kramer vs. Kramer;106260000;8,00E+06;en;8963;7.5;1173;6,903089987;8,026369812;12102;There are three sides to this love story;18/12/1979;18;PG;Drama;1979;75-79;70-79
The Black Hole;35841901;2,00E+07;en;7978;5.9;218;7,301029996;7,554391036;9570;A journey that begins where everything ends!;18/12/1979;28;PG;Action;1979;75-79;70-79
Being There;30177511;0;en;7696;7.7;469;1;7,479683417;10322;Getting there is half the fun;;;;;;;
All That Jazz;37823676;0;en;6707;7.4;196;1;7,577763735;16858;All that work. All that glitter. All that pain. All that love. All that crazy rhythm. All that jazz.;20/12/1979;18;R;Drama;1979;75-79;70-79
The Party;0;0;fr;7162;6.6;672;1;1;166;NA;1/01/1980;18;NA;Drama;1980;80-84;80-89
The Final Countdown;16647800;1.2e+07;en;10799;6.3;237;#°VALOR!;7,22135685;8738;Trapped outside the boundaries of time and space... 102 aircraft... 6,000 men... all missing.;31/01/1980;28;PG;Action;1980;80-84;80-89
Cannibal Holocaust;0;1,00E+05;it;8853;6.1;719;5;1;8689;Can a movie go too far?;7/02/1980;27;NC-17;Horror;1980;80-84;80-89
The Fog;21378361;1,00E+06;en;8322;6.6;690;6;7,329974406;790;Lock your doors. Bolt your windows. There's something in THE FOG!;8/02/1980;27;R;Horror;1980;80-84;80-89
American Gigolo;22743674;4800000;en;7396;6;306;6,681241237;7,356860622;2768;He's the highest paid lover in Beverly Hills. He leaves women feeling more alive than they've ever felt before. Except one.;8/02/1980;80;R;Crime;1980;80-84;80-89
Eaten Alive!;0;0;it;5932;5.2;55;1;1;8690;Trapped in a jungle of crazy flesh eaters! The terrifying nightmare that became reality!;19/03/1980;12;NA;Adventure;1980;80-84;80-89
Kagemusha;0;0;ja;6997;7.9;303;1;1;11953;NA;26/04/1980;28;PG;Action;1980;80-84;80-89
Cruising;0;0;en;8896;6.3;191;1;1;27958;Al Pacino is Cruising for a killer.;6/05/1980;80;R;Crime;1980;80-84;80-89
Friday the 13th;59754601;550000;en;14094;6.3;1473;5,740362689;7,776371351;4488;They were warned...They are doomed...And on Friday the 13th, nothing will save them.;9/05/1980;27;R;Horror;1980;80-84;80-89
The Empire Strikes Back;538400000;1.8e+07;en;13595;8.4;10977;#°VALOR!;8,731105051;1891;The Adventure Continues...;20/05/1980;28;PG;Action;1980;80-84;80-89
The Shining;44781695;1.9e+07;en;23377;8.2;10241;#°VALOR!;7,651100528;694;He came as the caretaker, but this hotel had its own guardians - who'd been there a long time;22/05/1980;27;R;Horror;1980;80-84;80-89
The Blues Brothers;115229890;2.7e+07;en;13763;7.7;2357;#°VALOR!;8,061565147;525;They'll never get caught. They're on a mission from God.;17/06/1980;10402;R;Music;1980;80-84;80-89
Brubaker;37121708;9,00E+06;en;6986;7.2;222;6,954242509;7,56962795;1623;One man against a cruel system.;20/06/1980;80;R;Crime;1980;80-84;80-89
Airplane!;83453539;3500000;en;20898;7.3;2399;6,544068044;7,921444758;813;What's slower than a speeding bullet, and able to hit tall buildings at a single bound?;2/07/1980;35;PG;Comedy;1980;80-84;80-89
Alligator;0;1500000;en;6168;5.7;122;6,176091259;1;33518;It lives 50 feet beneath the city. It's 36 feet long. It weighs 2,000 pounds...And it's about to break out!;2/07/1980;27;R;Horror;1980;80-84;80-89
The Blue Lagoon;58853106;4500000;en;10141;5.9;980;6,653212514;7,769769388;5689;A sensuous story of natural love.;5/07/1980;12;R;Adventure;1980;80-84;80-89
Cheech & Chong's Next Movie;41675194;0;en;6464;6.1;123;1;7,61987763;13612;Just what we all need! A really good hit!;18/07/1980;28;R;Action;1980;80-84;80-89
Prom Night;14796236;1500000;en;7.59;5.6;173;6,176091259;7,17015125;36599;If you're not back by midnight... you won't be coming home!;18/07/1980;27;R;Horror;1980;80-84;80-89
Caddyshack;39846344;6,00E+06;en;7451;6.7;653;6,77815125;7,60038848;11977;The snobs against the slobs!;25/07/1980;35;R;Comedy;1980;80-84;80-89
Dressed to Kill;31899000;6500000;en;7163;6.8;370;6,812913357;7,503777069;11033;NA;25/07/1980;9648;R;Mystery;1980;80-84;80-89
Smokey and the Bandit II;66132626;0;en;7535;5.5;147;1;7,820415768;12705;The Bandit is back and better than ever!;15/08/1980;28;PG;Action;1980;80-84;80-89
Flash Gordon;27107960;3.5e+07;en;10459;6.1;473;#°VALOR!;7,433096836;3604;He'll save every one of us!;1/09/1980;878;PG;Science Fiction;1980;80-84;80-89
The Gods Must Be Crazy;6,00E+07;5,00E+06;en;16985;7.1;529;6,698970004;7,77815125;8393;The critics are raving... the natives are restless... and the laughter is non-stop!;10/09/1980;28;PG;Action;1980;80-84;80-89
The Last Metro;0;0;fr;6222;7.4;180;1;1;1716;A story of love and conflict.;17/09/1980;18;NA;Drama;1980;80-84;80-89
Ordinary People;0;6,00E+06;en;6351;7.6;295;6,77815125;1;16619;Everything is in its proper place...except the past.;19/09/1980;18;R;Drama;1980;80-84;80-89
The Elephant Man;26010864;5,00E+06;en;11756;8.1;1746;6,698970004;7,415154778;1955;I am not an animal! I am a human being! I ‚Ä¶ am ‚Ä¶ a man!;2/10/1980;18;PG;Drama;1980;80-84;80-89
Somewhere in Time;0;5100000;en;6108;7.3;228;6,707570176;1;16633;Beyond fantasy. Beyond obsession. Beyond time itself... he will find her.;2/10/1980;18;PG;Drama;1980;80-84;80-89
Private Benjamin;0;0;en;6438;6.1;189;1;1;10765;NA;6/10/1980;35;R;Comedy;1980;80-84;80-89
The Long Good Friday;0;0;en;6811;7.3;145;1;1;14807;Who lit the fuse that tore Harold's world apart?;1/11/1980;80;R;Crime;1980;80-84;80-89
Maniac;0;350000;en;6127;6.4;171;5,544068044;1;27346;I warned you not to go out tonight.;7/11/1980;27;R;Horror;1980;80-84;80-89
Raging Bull;2.3e+07;1.8e+07;en;13563;8;2234;#°VALOR!;#°VALOR!;1578;NA;14/11/1980;18;R;Drama;1980;80-84;80-89
Tender Cousins;0;0;fr;8.27;5.9;18;1;1;73134;NA;19/11/1980;18;R;Drama;1980;80-84;80-89
Superman II;190458706;5.4e+07;en;10432;6.6;1299;#°VALOR!;8,279800829;8536;The Man of Steel meets his match!;4/12/1980;878;PG;Science Fiction;1980;80-84;80-89
Stir Crazy;101300000;0;en;7676;6.6;220;1;8,005609445;21629;Two jailbirds who just want out of the cage.;12/12/1980;35;R;Comedy;1980;80-84;80-89
Popeye;49823037;2,00E+07;en;7001;5.3;320;7,301029996;7,697430197;11335;The sailor man with the spinach can!;12/12/1980;28;PG;Action;1980;80-84;80-89
Any Which Way You Can;70687344;0;en;6998;6;165;1;7,849341664;17169;Faster, funnier and wilder. It'll knock you out.;17/12/1980;28;PG;Action;1980;80-84;80-89
Nine to Five;0;0;en;7.31;6.9;228;1;1;19494;Getting even is a full-time job;18/12/1980;35;PG;Comedy;1980;80-84;80-89
The Taming of the Scoundrel;0;0;it;13501;7.2;245;1;1;10986;NA;20/12/1980;35;NA;Comedy;1980;80-84;80-89
Children's Island;2110516;0;sv;5615;6.9;7;1;6,324388649;80310;Based on the 1976 popular children‚Äôs Novel ‚ÄúChildren‚Äôs Island‚Äù by P.C.Jersilds;25/12/1980;18;NA;Drama;1980;80-84;80-89
Altered States;19853892;1.5e+07;en;5515;6.7;325;#°VALOR!;7,297845655;11542;When he heard his cry for help it wasn't human;25/12/1980;27;R;Horror;1980;80-84;80-89
Scanners;14225876;4100000;en;7668;6.8;534;6,612783857;7,153079019;9538;10 Seconds: The Pain Begins. 15 Seconds: You Can‚Äôt Breathe. 20 Seconds: You Explode.;14/01/1981;878;R;Science Fiction;1981;80-84;80-89
Knock on Wood;0;0;fr;6453;7.1;296;1;1;19123;NA;1/03/1981;35;NA;Comedy;1981;80-84;80-89
Clash of the Titans;41092328;1.5e+07;en;8379;6.8;375;#°VALOR!;7,613760746;10323;You will feel the power. Live the adventure. Experience the fantastic.;15/03/1981;12;PG;Adventure;1981;80-84;80-89
Omen III: The Final Conflict;20471382;0;en;7605;5.6;242;1;7,311147162;10768;The power of evil is no longer in the hands of a child.;20/03/1981;18;R;Drama;1981;80-84;80-89
The Postman Always Rings Twice;0;1.2e+07;en;6121;6.5;248;#°VALOR!;1;11027;You Will Feel The Heat;20/03/1981;80;R;Crime;1981;80-84;80-89
Thief;4300000;0;en;8043;7.2;250;1;6,633468456;11524;Tonight, his take home pay is $410,000... tax free.;27/03/1981;28;R;Action;1981;80-84;80-89
Christiane F.;0;0;de;8605;7.3;679;1;1;9589;The image of a generation;1/04/1981;18;R;Drama;1981;80-84;80-89
Hot Bubblegum;0;0;he;9.05;6.5;29;1;1;10582;The Lemon Popsicle boys are at it again!;7/04/1981;35;R;Comedy;1981;80-84;80-89
Excalibur;34967437;1.1e+07;en;9909;7.1;508;#°VALOR!;7,543663801;11527;Forged by a god. Foretold by a wizard. Found by a king.;10/04/1981;12;R;Adventure;1981;80-84;80-89
Cannibal Ferox;0;0;en;7859;5.5;121;1;1;8691;Banned in 31 countries!;24/04/1981;12;NR;Adventure;1981;80-84;80-89
Ms .45;0;62000;en;6147;6.5;128;4,792391689;1;22171;She was abused and violated. It will never happen again!;24/04/1981;80;R;Crime;1981;80-84;80-89
Friday the 13th Part 2;21722776;1250000;en;9537;6;790;6,096910013;7,336915324;9725;The body count continues...;1/05/1981;27;R;Horror;1981;80-84;80-89
The Burning;0;1500000;en;7989;6.3;180;6,176091259;1;24124;A legend of terror isn't a campfire story anymore!;8/05/1981;27;R;Horror;1981;80-84;80-89
Chariots of Fire;58972904;5500000;en;7352;7;438;6,740362689;7,770652514;9443;This is the story of two men who run, not to run, but to prove something to the world. They will sacrifice anything to achieve their goals... except their honor.;15/05/1981;18;PG;Drama;1981;80-84;80-89
Escape from New York;50244700;6,00E+06;en;13208;7.1;1581;6,77815125;7,701090257;1103;New York is a disease. Meet the cure.;22/05/1981;878;R;Science Fiction;1981;80-84;80-89
Raiders of the Lost Ark;389925971;1.8e+07;en;16317;7.9;7513;#°VALOR!;8,590982162;85;Indiana Jones - the new hero from the creators of JAWS and STAR WARS.;12/06/1981;28;PG;Action;1981;80-84;80-89
History of the World: Part I;31672907;1.1e+07;en;9548;6.7;382;#°VALOR!;7,500687926;10156;Ten million years in the making. The truth, the whole truth, and everything, but the truth!;12/06/1981;35;R;Comedy;1981;80-84;80-89
The Cannonball Run;72179579;1.8e+07;en;7233;6.2;306;#°VALOR!;7,858414345;11286;You'll root for them all...but you'll never guess who wins.;19/06/1981;28;PG;Action;1981;80-84;80-89
For Your Eyes Only;195312802;2.8e+07;en;13059;6.5;924;#°VALOR!;8,290730711;699;No one comes close to James Bond, 007.;23/06/1981;12;PG;Adventure;1981;80-84;80-89
Stripes;85300000;1,00E+07;en;11241;6.6;478;7;7,930949031;10890;The story of a man who wanted to keep the world safe for democracy...and meet girls.;25/06/1981;28;R;Action;1981;80-84;80-89
Dragonslayer;14110013;1.8e+07;en;6104;6.5;136;#°VALOR!;7,149527414;848;In the Dark Ages, Magic was a weapon. Love was a mystery. Adventure was everywhere... And Dragons were real.;26/06/1981;14;PG;Fantasy;1981;80-84;80-89
The Fox and the Hound;29800000;1.2e+07;en;15225;7.1;2002;#°VALOR!;7,474216264;10948;A story of two friends who didn't know they were supposed to be enemies.;10/07/1981;12;G;Adventure;1981;80-84;80-89
Time Bandits;42365581;5,00E+06;en;9984;6.7;489;6,698970004;7,627013167;36819;All the dreams you've ever had and not just the good ones.;13/07/1981;10751;PG;Family;1981;80-84;80-89
Endless Love;32492674;0;en;8552;5.6;75;1;7,511785453;19114;She is 15. He is 17. The Love Every Parent Fears.;17/07/1981;18;R;Drama;1981;80-84;80-89
Blow Out;1.2e+07;1.8e+07;en;9.52;7.4;601;#°VALOR!;#°VALOR!;11644;Murder has a sound all of its own!;24/07/1981;53;R;Thriller;1981;80-84;80-89
Heavy Metal;546545;9300000;en;11934;6.4;320;6,968482949;5,737625926;11827;A Step Beyond Science Fiction;7/08/1981;16;R;Animation;1981;80-84;80-89
Tarzan, the Ape Man;36565280;0;en;9675;3.9;49;1;7,563068903;26325;The most beautiful woman of our time in the most erotic adventure of all time.;7/08/1981;28;R;Action;1981;80-84;80-89
Gallipoli;11740000;3,00E+06;en;7414;7.2;231;6,477121255;7,069668097;11646;From a place you've never heard of, comes a story you'll never forget.;13/08/1981;12;PG;Adventure;1981;80-84;80-89
Private Lessons;26279000;2800000;en;27349;5.7;38;6,447158031;7,419608835;41280;When EMANUELLE's Sylvia Kristel is your teacher the bedroom is the classroom;21/08/1981;35;R;Comedy;1981;80-84;80-89
An American Werewolf in London;31973249;1,00E+07;en;9258;7.3;1154;7;7,50478677;814;Beware the Moon.;21/08/1981;35;R;Comedy;1981;80-84;80-89
Beau Pere;0;0;fr;9971;6.8;38;1;1;42337;NA;15/09/1981;18;NA;Drama;1981;80-84;80-89
Das Boot;8.5e+07;1.4e+07;de;11624;8.1;1104;#°VALOR!;#°VALOR!;387;When the hunters become the hunted.;16/09/1981;18;R;Drama;1981;80-84;80-89
The Evil Dead;29400000;350000;en;13746;7.3;1984;5,544068044;7,46834733;764;The Ultimate Experience In Grueling Terror;15/10/1981;27;R;Horror;1981;80-84;80-89
Halloween II;0;2500000;en;9.06;6.5;958;6,397940009;1;11281;The nightmare isn't over!;30/10/1981;27;R;Horror;1981;80-84;80-89
Porky's;125728258;4,00E+06;en;8463;6.2;357;6,602059991;8,099432898;10246;Keep an eye out for the funniest movie about growing up ever made!;13/11/1981;35;R;Comedy;1981;80-84;80-89
On Golden Pond;19255967;0;en;7628;7.4;223;1;7,284565333;11816;when life is at its finest‚Ä¶ when love is at its fullest‚Ä¶;1/12/1981;18;PG;Drama;1981;80-84;80-89
Cabbage Soup;0;0;fr;7753;6.4;488;1;1;9317;NA;2/12/1981;35;NA;Comedy;1981;80-84;80-89
A Friend Is a Treasure;0;0;it;6784;6.9;335;1;1;6399;NA;9/12/1981;28;NA;Action;1981;80-84;80-89
Quest for Fire;55260558;1.2e+07;fr;8396;7.1;247;#°VALOR!;7,742415266;62204;NA;15/12/1981;12;NA;Adventure;1981;80-84;80-89
Mad Max 2;24600832;2,00E+06;en;13509;7.4;1939;6,301029996;7,390949795;8810;When all that's left is one last chance, pray that he's still out there ... somewhere!;24/12/1981;28;R;Action;1981;80-84;80-89
Swamp Thing;0;1,00E+07;en;6037;5.4;177;7;1;17918;Science changed him into a monster. Love changed him even more!;19/02/1982;27;PG;Horror;1982;80-84;80-89
Death Wish II;4.5e+07;2,00E+06;en;7634;6.1;186;6,301029996;#°VALOR!;14373;First His Wife. Now His Daughter. It's Time To Even The Score!;20/02/1982;28;R;Action;1982;80-84;80-89
The Man from Snowy River;20659423;3500000;en;6274;7;71;6,544068044;7,315118188;24266;The story of a boy suddenly alone in the world. The men who challenge him. And the girl who helps him become a man.;2/03/1982;12;PG;Adventure;1982;80-84;80-89
Fitzcarraldo;0;7362000;de;6243;7.7;332;6,866995813;1;9343;NA;4/03/1982;28;PG;Action;1982;80-84;80-89
Conan the Barbarian;79114085;2,00E+07;en;15.69;6.7;1319;7,301029996;7,89825381;9387;Thief. Warrior. Gladiator. King.;2/04/1982;28;R;Action;1982;80-84;80-89
Cat People;0;1.8e+07;en;10.54;5.9;209;#°VALOR!;1;6217;They are something more than lovers who are about to become something less than human.;2/04/1982;14;R;Fantasy;1982;80-84;80-89
Rocky III;2.7e+08;1.7e+07;en;16083;6.8;2222;#°VALOR!;#°VALOR!;1371;The greatest challenge.;28/05/1982;18;PG;Drama;1982;80-84;80-89
Poltergeist;122200000;10700000;en;13899;7.1;1556;7,029383778;8,087071206;609;They're here;4/06/1982;27;PG;Horror;1982;80-84;80-89
Star Trek II: The Wrath of Khan;96800000;1.2e+07;en;8407;7.5;1116;#°VALOR!;7,985875357;154;At the end of the universe lies the beginning of vengeance.;4/06/1982;28;PG;Action;1982;80-84;80-89
E.T. the Extra-Terrestrial;792965326;10500000;en;16241;7.5;7302;7,021189299;8,899254197;601;He is afraid. He is alone. He is three million light years from home.;11/06/1982;878;PG;Science Fiction;1982;80-84;80-89
Grease 2;15171476;13200000;en;7633;5.1;420;7,120573931;7,181027834;9037;The Music and Feeling go on Forever.;11/06/1982;35;PG;Comedy;1982;80-84;80-89
Firefox;70687344;1.8e+07;en;7427;6.1;253;#°VALOR!;7,849341664;10724;...the most devastating killing machine ever built... his job... steal it!;13/06/1982;878;PG;Science Fiction;1982;80-84;80-89
The Secret of NIMH;14665733;7,00E+06;en;7388;7.5;459;6,84509804;7,166303774;11704;Right before your eyes and beyond your wildest dreams.;17/06/1982;12;G;Adventure;1982;80-84;80-89
Annie;57059003;5,00E+07;en;6378;6.4;404;7,698970004;7,756324179;15739;The movie of 'Tomorrow';18/06/1982;35;PG;Comedy;1982;80-84;80-89
Blade Runner;32868943;2.8e+07;en;29973;7.9;8551;#°VALOR!;7,516785738;78;Man has made his match... now it's his problem.;25/06/1982;18;R;Drama;1982;80-84;80-89
The Thing;19629760;1.5e+07;en;15438;8;3590;#°VALOR!;7,29291499;1091;Man is The Warmest Place to Hide.;25/06/1982;27;R;Horror;1982;80-84;80-89
The Last American Virgin;0;0;en;6649;6.3;90;1;1;27088;The comedy that puts ZIP into being a teen...;26/06/1982;35;R;Comedy;1982;80-84;80-89
Tron;3.3e+07;1.7e+07;en;11885;6.6;1237;#°VALOR!;#°VALOR!;97;A world inside the computer where man has never been.  Until now.;9/07/1982;878;PG;Science Fiction;1982;80-84;80-89
Pink Floyd: The Wall;22244207;1.2e+07;en;8.56;8;749;#°VALOR!;7,347216928;12104;The Memories. The Madness. The Music... The Movie.;14/07/1982;10402;R;Music;1982;80-84;80-89
Zapped!;0;0;en;5.4;5.2;64;1;1;23943;They're getting a little behind in their classwork.;23/07/1982;35;R;Comedy;1982;80-84;80-89
An Officer and a Gentleman;129795554;0;en;6844;6.9;546;1;8,113259816;2623;Life gave him nothing, except the courage to win...and a woman to love.;28/07/1982;18;R;Drama;1982;80-84;80-89
