"","film","revenue","budget","language","popularity","vote.average","vote.count","id","tagline","release.date","genre","certification","genre_txt","year","lustrum","decade","log_budget","log_rev"
"65","Get Carter","0","1814462","en",6462,7.1,220,"1485",NA,"3/03/1971",80,"R","Crime",1971,"70-74","70-79",1.96848294855394,0.301029995663981
"66","THX 1138","2437000","777000","en",8202,6.6,475,"636","Visit the future where love is the ultimate crime.","11/03/1971",18,"R","Drama",1971,"70-74","70-79",2.40823996531185,2.78031731214015
"67","The Andromeda Strain","12376563","6500000","en",8.73,7,325,"10514",NA,"12/03/1971",878,"G","Science Fiction",1971,"70-74","70-79",2.37291200297011,2.23044892137827
"68","The Beguiled","0","0","en",5745,7.1,201,"31906","One man...seven women...in a strange house!","31/03/1971",18,"R","Drama",1971,"70-74","70-79",0.301029995663981,0.301029995663981
"69","Delusions of Grandeur","0","0","fr",6835,7.6,358,"14257",NA,"1/04/1971",35,"PG","Comedy",1971,"70-74","70-79",0.301029995663981,0.301029995663981
"70","Murmur of the Heart","0","0","fr",9086,7.1,65,"42501","A souffle of a movie!","27/04/1971",35,"PG","Comedy",1971,"70-74","70-79",0.301029995663981,0.301029995663981
"71","Bananas","11833696","2,00E+06","en",5112,6.7,377,"11302",NA,"28/04/1971",35,"PG-13","Comedy",1971,"70-74","70-79",1.99563519459755,2.12057393120585
"72","Escape from the Planet of the Apes","12348905","2500000","en",6922,6.4,505,"1687","Meet baby Milo who has Washington terrified.","20/05/1971",28,"G","Action",1971,"70-74","70-79",2.12710479836481,2.22788670461367
"73","Big Jake","0","0","en",6533,7,98,"21717","They wanted gold. They gave them lead instead!","26/05/1971",37,"PG-13","Western",1971,"70-74","70-79",0.301029995663981,0.301029995663981
"74","The Panic in Needle Park","0","1645000","en",6227,6.8,142,"27554","God help Bobby and Helen, they're in love in Needle Park","1/06/1971",18,"R","Drama",1971,"70-74","70-79",1.92427928606188,0.301029995663981
"75","Klute","12512637","2500000","en",8451,6.8,161,"466","You'd never take her for a call girl. You'd never take him for a cop.","23/06/1971",9648,"R","Mystery",1971,"70-74","70-79",2.12710479836481,2.24797326636181
"76","Le Mans","0","0","en",6078,7,99,"5920","Steve McQueen takes you for a drive in the country. The country is France. The drive is at 200 MPH!","23/06/1971",28,"G","Action",1971,"70-74","70-79",0.301029995663981,0.301029995663981
"77","McCabe & Mrs. Miller","0","0","en",7295,7.2,184,"29005","Name your poison","24/06/1971",37,"R","Western",1971,"70-74","70-79",0.301029995663981,0.301029995663981
"78","Willy Wonka & the Chocolate Factory","4,00E+06","3,00E+06","en",13982,7.5,1887,"252","It's Scrumdidilyumptious!","29/06/1971",35,"G","Comedy",1971,"70-74","70-79",2.16136800223497,2.98181860717066
"79","The Devils","0","0","en",6271,7.6,165,"31767","Hell holds no surprises for them.","1/07/1971",18,"R","Drama",1971,"70-74","70-79",0.301029995663981,0.301029995663981
"80","Two-Lane Blacktop","0","850000","en",7574,7,110,"27236","You can never go fast enough...","7/07/1971",18,"R","Drama",1971,"70-74","70-79",2.43296929087441,0.301029995663981
"81","The Omega Man","0","0","en",8933,6.2,259,"11234","The World Is Dead. One Survivor. Then The Others. Crawling In Darkness. The Strangest Sect Of All. *Hunting The Last Man On Earth.*","1/08/1971",28,"PG","Action",1971,"70-74","70-79",0.301029995663981,0.301029995663981
"82","A Bay of Blood","0","0","it",6723,6.6,160,"5486","They came to play, they stayed to die.","8/09/1971",27,NA,"Horror",1971,"70-74","70-79",0.301029995663981,0.301029995663981
"83","Red Sun","0","0","fr",6836,6.9,103,"11842","The greatest fighting machine the West has ever known.","15/09/1971",37,"PG","Western",1971,"70-74","70-79",0.301029995663981,0.301029995663981
"84","And Now for Something Completely Different","7000","1,00E+05","en",5836,7.3,272,"9267","If the Motion Picture Industry dies… Monty Python killed it!","28/09/1971",35,"PG","Comedy",1971,"70-74","70-79",0.477121254719662,3.11859536522376
"85","The Big Boss","0","1,00E+05","zh",10533,7.3,328,"12481","Every limb of his body is a lethal weapon!!!","2/10/1971",28,"R","Action",1971,"70-74","70-79",0.477121254719662,0.301029995663981
"86","The Last Picture Show","29133000","1300000","en",5834,7.8,293,"25188","Anarene, Texas, 1951. Nothing much has changed…","3/10/1971",18,"R","Drama",1971,"70-74","70-79",1.85125834871908,2.85491302230786
"87","Bedknobs and Broomsticks","17900000","2,00E+07","en",8705,7,581,"12335","You'll beWITCHED! You'll beDAZZLED! You'll be swept into a world of enchantment BEYOND ANYTHING BEFORE!","7/10/1971",12,"G","Adventure",1971,"70-74","70-79",2,2.58206336291171
"88","The French Connection","41158757","1800000","en",9.32,7.6,879,"1051","There are no rules and no holds barred when Popeye cuts loose!","9/10/1971",28,"R","Action",1971,"70-74","70-79",1.96378782734556,2.99343623049761
"89","Duck, You Sucker","0","0","it",8123,7.8,495,"336","Rod Steiger and James Coburn will blow you apart in","20/10/1971",37,NA,"Western",1971,"70-74","70-79",0.301029995663981,0.301029995663981
"90","Trinity Is Still My Name","2100000","0","it",12142,7.5,462,"11829","Trinity's back in the saddle again and still horsing around","21/10/1971",35,"PG","Comedy",1971,"70-74","70-79",0.301029995663981,2.69108149212297
"91","Play Misty for Me","10600000","725000","en",7534,6.7,187,"15393","The scream you hear may be your own!","3/11/1971",80,"R","Crime",1971,"70-74","70-79",2.39967372148104,1.80617997398389
"92","Fiddler on the Roof","83304330","9,00E+06","en",6933,7.7,257,"14811","To Life!","3/11/1971",18,"G","Drama",1971,"70-74","70-79",2.44404479591808,3.15896526038341
